match_id,innings,over,ball,batting_team,bowling_team,event,runs,score,wickets,target,balls_left,win_probability,market_price,buy_price,sell_price
CSK_MI_PREMIUM_001,1,1,1,CSK,MI,DOUBLE,2,2,0,,119,50.51,152.02,153.02,151.02
CSK_MI_PREMIUM_001,1,1,2,CSK,MI,SINGLE,1,3,0,,118,50.87,153.47,154.47,152.47
CSK_MI_PREMIUM_001,1,1,3,CSK,MI,FOUR,4,7,0,,117,52.71,160.82,161.82,159.82
CSK_MI_PREMIUM_001,1,1,4,CSK,MI,SIX,6,13,0,,116,55.86,173.43,174.43,172.43
CSK_MI_PREMIUM_001,1,1,5,CSK,MI,FOUR,4,17,0,,115,57.29,179.15,180.15,178.15
CSK_MI_PREMIUM_001,1,1,6,CSK,MI,SINGLE,1,18,0,,114,57.95,181.78,182.78,180.78
CSK_MI_PREMIUM_001,1,2,1,CSK,MI,SIX,6,24,0,,113,60.97,193.89,194.89,192.89
CSK_MI_PREMIUM_001,1,2,2,CSK,MI,SINGLE,1,25,0,,112,61.35,195.4,196.4,194.4
CSK_MI_PREMIUM_001,1,2,3,CSK,MI,DOT,0,25,0,,111,60.92,193.69,194.69,192.69
CSK_MI_PREMIUM_001,1,2,4,CSK,MI,FOUR,4,29,0,,110,62.23,198.92,199.92,197.92
CSK_MI_PREMIUM_001,1,2,5,CSK,MI,FOUR,4,33,0,,109,63.7,204.79,205.79,203.79
CSK_MI_PREMIUM_001,1,2,6,CSK,MI,DOT,0,33,0,,108,63.31,203.24,204.24,202.24
CSK_MI_PREMIUM_001,1,3,1,CSK,MI,SINGLE,1,34,0,,107,63.91,205.66,206.66,204.66
CSK_MI_PREMIUM_001,1,3,2,CSK,MI,DOUBLE,2,36,0,,106,64.36,207.46,208.46,206.46
CSK_MI_PREMIUM_001,1,3,3,CSK,MI,DOUBLE,2,38,0,,105,64.67,208.69,209.69,207.69
CSK_MI_PREMIUM_001,1,3,4,CSK,MI,SIX,6,44,0,,104,67.57,220.29,221.29,219.29
CSK_MI_PREMIUM_001,1,3,5,CSK,MI,DOT,0,44,0,,103,67.35,219.4,220.4,218.4
CSK_MI_PREMIUM_001,1,3,6,CSK,MI,DOT,0,44,0,,102,67.05,218.18,219.18,217.18
CSK_MI_PREMIUM_001,1,4,1,CSK,MI,SINGLE,1,45,0,,101,67.41,219.63,220.63,218.63
CSK_MI_PREMIUM_001,1,4,2,CSK,MI,SINGLE,1,46,0,,100,68.01,222.04,223.04,221.04
CSK_MI_PREMIUM_001,1,4,3,CSK,MI,SINGLE,1,47,0,,99,68.57,224.29,225.29,223.29
CSK_MI_PREMIUM_001,1,4,4,CSK,MI,DOUBLE,2,49,0,,98,68.94,225.75,226.75,224.75
CSK_MI_PREMIUM_001,1,4,5,CSK,MI,FOUR,4,53,0,,97,70.53,232.12,233.12,231.12
CSK_MI_PREMIUM_001,1,4,6,CSK,MI,DOT,0,53,0,,96,70.03,230.13,231.13,229.13
CSK_MI_PREMIUM_001,1,5,1,CSK,MI,FOUR,4,57,0,,95,71.79,237.14,238.14,236.14
CSK_MI_PREMIUM_001,1,5,2,CSK,MI,SIX,6,63,0,,94,74.54,248.16,249.16,247.16
CSK_MI_PREMIUM_001,1,5,3,CSK,MI,DOT,0,63,0,,93,74.25,247.01,248.01,246.01
CSK_MI_PREMIUM_001,1,5,4,CSK,MI,SINGLE,1,64,0,,92,74.52,248.07,249.07,247.07
CSK_MI_PREMIUM_001,1,5,5,CSK,MI,FOUR,4,68,0,,91,76.11,254.45,255.45,253.45
CSK_MI_PREMIUM_001,1,5,6,CSK,MI,DOUBLE,2,70,0,,90,76.82,257.29,258.29,256.29
